RefDate,Type,ISIN Code,Description,Maturity,Mid Price
15-Jul-25,DSL,NL0011819040,NETHER 0.500 15/07/26,7/15/2026,98.666
15-Jul-25,DSL,NL0012171458,NETHER 0.750 15/07/27,7/15/2027,97.761
15-Jul-25,DSL,NL0012818504,NETHER 0.750 15/07/28,7/15/2028,96.277
15-Jul-25,DSL,NL0013332430,NETHER 0.250 15/07/29,7/15/2029,92.607
15-Jul-25,DSL,NL0014555419,NETHER 0 15/07/30,7/15/2030,89.067
15-Jul-25,DSL,NL00150006U0,NETHER 0 15/07/31,7/15/2031,86.419
15-Jul-25,DSL,NL0015000RP1,NETHER 0.500 15/07/32,7/15/2032,86.826
15-Jul-25,DSL,NL0015001AM2,NETHER 2.500 15/07/33,7/15/2033,98.732
15-Jul-25,DSL,NL0015001XZ6,NETHER 2.500 15/07/34,7/15/2034,97.831
15-Jul-25,DSL,NL0015002F72,NETHER 2.500 15/07/35,7/15/2035,96.911
15-Jul-24,DSL,NL0011220108,NETHER 0.250 15/07/25,7/15/2025,97.225
15-Jul-24,DSL,NL0011819040,NETHER 0.500 15/07/26,7/15/2026,95.642
15-Jul-24,DSL,NL0012171458,NETHER 0.750 15/07/27,7/15/2027,94.566
15-Jul-24,DSL,NL0012818504,NETHER 0.750 15/07/28,7/15/2028,92.921
15-Jul-24,DSL,NL0013332430,NETHER 0.250 15/07/29,7/15/2029,89.047
15-Jul-24,DSL,NL0014555419,NETHER 0 15/07/30,7/15/2030,85.581
15-Jul-24,DSL,NL00150006U0,NETHER 0 15/07/31,7/15/2031,83.32
15-Jul-24,DSL,NL0015000RP1,NETHER 0.500 15/07/32,7/15/2032,84.527
15-Jul-24,DSL,NL0015001AM2,NETHER 2.500 15/07/33,7/15/2033,98.303
15-Jul-24,DSL,NL0015001XZ6,NETHER 2.500 15/07/34,7/15/2034,97.759
14-Jul-23,DSL,NL0010733424,NETHER 2.000 15/07/24,7/15/2024,98.614
14-Jul-23,DSL,NL0011220108,NETHER 0.250 15/07/25,7/15/2025,94.424
14-Jul-23,DSL,NL0011819040,NETHER 0.500 15/07/26,7/15/2026,92.921
14-Jul-23,DSL,NL0012171458,NETHER 0.750 15/07/27,7/15/2027,92.098
14-Jul-23,DSL,NL0012818504,NETHER 0.750 15/07/28,7/15/2028,90.534
14-Jul-23,DSL,NL0013332430,NETHER 0.250 15/07/29,7/15/2029,86.208
14-Jul-23,DSL,NL0014555419,NETHER 0 15/07/30,7/15/2030,82.676
14-Jul-23,DSL,NL00150006U0,NETHER 0 15/07/31,7/15/2031,80.486
14-Jul-23,DSL,NL0015000RP1,NETHER 0.500 15/07/32,7/15/2032,82.15
14-Jul-23,DSL,NL0015001AM2,NETHER 2.500 15/07/33,7/15/2033,97.273
15-Jul-22,DSL,NL0010418810,NETHER 1.750 15/07/23,7/15/2023,101.367
15-Jul-22,DSL,NL0010733424,NETHER 2.000 15/07/24,7/15/2024,103.047
15-Jul-22,DSL,NL0011220108,NETHER 0.250 15/07/25,7/15/2025,98.758
15-Jul-22,DSL,NL0011819040,NETHER 0.500 15/07/26,7/15/2026,98.75
15-Jul-22,DSL,NL0012171458,NETHER 0.750 15/07/27,7/15/2027,99.031
15-Jul-22,DSL,NL0012818504,NETHER 0.750 15/07/28,7/15/2028,98.152
15-Jul-22,DSL,NL0013332430,NETHER 0.250 15/07/29,7/15/2029,93.852
15-Jul-22,DSL,NL0014555419,NETHER 0 15/07/30,7/15/2030,90.687
15-Jul-22,DSL,NL00150006U0,NETHER 0 15/07/31,7/15/2031,89.121
15-Jul-22,DSL,NL0015000RP1,NETHER 0.500 15/07/32,7/15/2032,91.453
15-Jul-21,DSL,NL0010060257,NETHER 2.250 15/07/22,7/15/2022,102.942
15-Jul-21,DSL,NL0010418810,NETHER 1.750 15/07/23,7/15/2023,104.962
15-Jul-21,DSL,NL0010733424,NETHER 2.000 15/07/24,7/15/2024,108.208
15-Jul-21,DSL,NL0011220108,NETHER 0.250 15/07/25,7/15/2025,103.685
15-Jul-21,DSL,NL0011819040,NETHER 0.500 15/07/26,7/15/2026,105.645
15-Jul-21,DSL,NL0012171458,NETHER 0.750 15/07/27,7/15/2027,107.918
15-Jul-21,DSL,NL0012818504,NETHER 0.750 15/07/28,7/15/2028,108.724
15-Jul-21,DSL,NL0013332430,NETHER 0.250 15/07/29,7/15/2029,105.172
15-Jul-21,DSL,NL0014555419,NETHER 0 15/07/30,7/15/2030,102.838
15-Jul-21,DSL,NL00150006U0,NETHER 0 15/07/31,7/15/2031,102.309
15-Jul-20,DSL,NL0009712470,NETHER 3.250 15/07/21,7/15/2021,103.842
15-Jul-20,DSL,NL0010060257,NETHER 2.250 15/07/22,7/15/2022,105.818
15-Jul-20,DSL,NL0010418810,NETHER 1.750 15/07/23,7/15/2023,107.237
15-Jul-20,DSL,NL0010733424,NETHER 2.000 15/07/24,7/15/2024,110.637
15-Jul-20,DSL,NL0011220108,NETHER 0.250 15/07/25,7/15/2025,104.274
15-Jul-20,DSL,NL0011819040,NETHER 0.500 15/07/26,7/15/2026,106.376
15-Jul-20,DSL,NL0012171458,NETHER 0.750 15/07/27,7/15/2027,108.823
15-Jul-20,DSL,NL0012818504,NETHER 0.750 15/07/28,7/15/2028,109.769
15-Jul-20,DSL,NL0013332430,NETHER 0.250 15/07/29,7/15/2029,105.849
15-Jul-20,DSL,NL0014555419,NETHER 0 15/07/30,7/15/2030,103.262
15-Jul-19,DSL,NL0009348242,NETHER 3.500 15/07/20,7/15/2020,104.188
15-Jul-19,DSL,NL0009712470,NETHER 3.250 15/07/21,7/15/2021,108.003
15-Jul-19,DSL,NL0010060257,NETHER 2.250 15/07/22,7/15/2022,108.993
15-Jul-19,DSL,NL0010418810,NETHER 1.750 15/07/23,7/15/2023,109.662
15-Jul-19,DSL,NL0010733424,NETHER 2.000 15/07/24,7/15/2024,112.853
15-Jul-19,DSL,NL0011220108,NETHER 0.250 15/07/25,7/15/2025,104.194
15-Jul-19,DSL,NL0011819040,NETHER 0.500 15/07/26,7/15/2026,106.128
15-Jul-19,DSL,NL0012171458,NETHER 0.750 15/07/27,7/15/2027,108.238
15-Jul-19,DSL,NL0012818504,NETHER 0.750 15/07/28,7/15/2028,108.58
15-Jul-19,DSL,NL0013332430,NETHER 0.250 15/07/29,7/15/2029,103.543
16-Jul-18,DSL,NL0009086115,NETHER 4.000 15/07/19,7/15/2019,104.653
16-Jul-18,DSL,NL0009348242,NETHER 3.500 15/07/20,7/15/2020,108.345
16-Jul-18,DSL,NL0009712470,NETHER 3.250 15/07/21,7/15/2021,111.412
16-Jul-18,DSL,NL0010060257,NETHER 2.250 15/07/22,7/15/2022,110.613
16-Jul-18,DSL,NL0010418810,NETHER 1.750 15/07/23,7/15/2023,109.905
16-Jul-18,DSL,NL0010733424,NETHER 2.000 15/07/24,7/15/2024,112.366
16-Jul-18,DSL,NL0011220108,NETHER 0.250 15/07/25,7/15/2025,101.181
16-Jul-18,DSL,NL0011819040,NETHER 0.500 15/07/26,7/15/2026,102.297
16-Jul-18,DSL,NL0012171458,NETHER 0.750 15/07/27,7/15/2027,103.679
16-Jul-18,DSL,NL0012818504,NETHER 0.750 15/07/28,7/15/2028,103.003
14-Jul-17,DSL,NL0006227316,NETHER 4.000 15/07/18,7/15/2018,104.669
14-Jul-17,DSL,NL0009086115,NETHER 4.000 15/07/19,7/15/2019,109.241
14-Jul-17,DSL,NL0009348242,NETHER 3.500 15/07/20,7/15/2020,111.975
14-Jul-17,DSL,NL0009712470,NETHER 3.250 15/07/21,7/15/2021,114.316
14-Jul-17,DSL,NL0010060257,NETHER 2.250 15/07/22,7/15/2022,111.859
14-Jul-17,DSL,NL0010418810,NETHER 1.750 15/07/23,7/15/2023,110.132
14-Jul-17,DSL,NL0010733424,NETHER 2.000 15/07/24,7/15/2024,112.328
14-Jul-17,DSL,NL0011220108,NETHER 0.250 15/07/25,7/15/2025,98.9
14-Jul-17,DSL,NL0011819040,NETHER 0.500 15/07/26,7/15/2026,99.639
14-Jul-17,DSL,NL0012171458,NETHER 0.750 15/07/27,7/15/2027,100.564
15-Jul-16,DSL,NL0006007239,NETHER 4.500 15/07/17,7/15/2017,105.106
15-Jul-16,DSL,NL0006227316,NETHER 4.000 15/07/18,7/15/2018,109.26
15-Jul-16,DSL,NL0009086115,NETHER 4.000 15/07/19,7/15/2019,113.892
15-Jul-16,DSL,NL0009348242,NETHER 3.500 15/07/20,7/15/2020,116.482
15-Jul-16,DSL,NL0009712470,NETHER 3.250 15/07/21,7/15/2021,118.956
15-Jul-16,DSL,NL0010060257,NETHER 2.250 15/07/22,7/15/2022,116.157
15-Jul-16,DSL,NL0010418810,NETHER 1.750 15/07/23,7/15/2023,114.495
15-Jul-16,DSL,NL0010733424,NETHER 2.000 15/07/24,7/15/2024,117.485
15-Jul-16,DSL,NL0011220108,NETHER 0.250 15/07/25,7/15/2025,102.572
15-Jul-16,DSL,NL0011819040,NETHER 0.500 15/07/26,7/15/2026,104.161
15-Jul-15,DSL,NL0000102283,NETHER 4.000  15/07/16,7/15/2016,104.277
15-Jul-15,DSL,NL0006007239,NETHER 4.500  15/07/17,7/15/2017,109.419
15-Jul-15,DSL,NL0006227316,NETHER 4.000  15/07/18,7/15/2018,112.313
15-Jul-15,DSL,NL0009086115,NETHER 4.000  15/07/19,7/15/2019,115.873
15-Jul-15,DSL,NL0009348242,NETHER 3.500  15/07/20,7/15/2020,116.394
15-Jul-15,DSL,NL0009712470,NETHER 3.250  15/07/21,7/15/2021,116.967
15-Jul-15,DSL,NL0010060257,NETHER 2.250  15/07/22,7/15/2022,111.481
15-Jul-15,DSL,NL0010418810,NETHER 1.750 15/07/23,7/15/2023,107.744
