Name of Bank,Basis,Area,Main item,Sub item,Period ,waarde
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Total ,2014H2,384357
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Total ,2015H1,408132
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Total ,2015H2,387728
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Total ,2016H1,416025
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Total ,2016H2,391196
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Total ,2017H1,401176
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Total ,2017H2,390462
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Total ,2018H1,393006
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Total ,2018H2,381623
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Total ,2019H1,396485
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Total ,2019H2,375364
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Total ,2020H1,425043
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Total ,2020H2,395908
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Total ,2021H1,411778
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Total ,2021H2,399454
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Total ,2022H1,421885
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Total ,2022H2,379962
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Total ,2023H1,403767
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Total ,2023H2,378295
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Total ,2024H1,393816
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Total ,2024H2,385450
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Financial assets ,2014H2,372000
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Financial assets ,2015H1,380494
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Financial assets ,2015H2,350382
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Financial assets ,2016H1,392627
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Financial assets ,2016H2,356193
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Financial assets ,2017H1,365996
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Financial assets ,2017H2,351592
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Financial assets ,2018H1,355258
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Financial assets ,2018H2,338933
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Financial assets ,2019H1,356305
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Financial assets ,2019H2,339417
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Financial assets ,2020H1,359117
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Financial assets ,2020H2,326559
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Financial assets ,2021H1,329588
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Financial assets ,2021H2,326198
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Financial assets ,2022H1,352664
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Financial assets ,2022H2,323572
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Financial assets ,2023H1,344114
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Financial assets ,2023H2,326152
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Financial assets ,2024H1,358265
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Financial assets ,2024H2,340236
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Mortgage loans for house purchase ,2014H2,148228
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Mortgage loans for house purchase ,2015H1,147957
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Mortgage loans for house purchase ,2015H2,146600
ABN AMRO ,IFRS ,Balance sheet items ,Assets ,Mortgage loans for house purchase ,2016H1,146553
