main item,sub item,region/currency,Period,waarde
Term loans,"Euro currency market, one-month deposits",Euro,2024-09,3.413
Term loans,"Euro currency market, three-month deposits",Euro,2024-09,3.402
Term loans,"Euro currency market, six-month deposits",Euro,2024-09,3.256
Term loans,"Euro currency market, twelve-month deposits",Euro,2024-09,2.975
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2024-09,4.947
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2024-09,4.857
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2024-09,4.585
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2024-09,4.2
Term loans,"Euro currency market, one-month deposits",Yen,2024-09,-0.176
Term loans,"Euro currency market, three-month deposits",Yen,2024-09,-0.082
Term loans,"Euro currency market, six-month deposits",Yen,2024-09,0.056
Term loans,"Euro currency market, twelve-month deposits",Yen,2024-09,0.19
Central government bonds,10 year,Euro area,2024-09,2.834
Central government bonds,10 year,United states,2024-09,3.724
Central government bonds,10 year,Japan,2024-09,0.865
Central government bonds,10 year,Netherlands,2024-09,2.469
Term loans,"Euro currency market, one-month deposits",Euro,2023-08,3.641
Term loans,"Euro currency market, three-month deposits",Euro,2023-08,3.752
Term loans,"Euro currency market, six-month deposits",Euro,2023-08,3.9
Term loans,"Euro currency market, twelve-month deposits",Euro,2023-08,4.008
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2023-08,5.313
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2023-08,5.481
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2023-08,5.743
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2023-08,5.805
Term loans,"Euro currency market, one-month deposits",Yen,2023-08,-0.319
Term loans,"Euro currency market, three-month deposits",Yen,2023-08,-0.264
Term loans,"Euro currency market, six-month deposits",Yen,2023-08,-0.209
Term loans,"Euro currency market, twelve-month deposits",Yen,2023-08,-0.06
Central government bonds,10 year,Euro area,2023-08,3.343
Central government bonds,10 year,United states,2023-08,4.168
Central government bonds,10 year,Japan,2023-08,0.628
Central government bonds,10 year,Netherlands,2023-08,2.917
Term loans,"Euro currency market, one-month deposits",Euro,2024-07,3.621
Term loans,"Euro currency market, three-month deposits",Euro,2024-07,3.641
Term loans,"Euro currency market, six-month deposits",Euro,2024-07,3.581
Term loans,"Euro currency market, twelve-month deposits",Euro,2024-07,3.519
Term loans,"Euro currency market, one-month deposits",Euro-Dollar,2024-07,5.29
Term loans,"Euro currency market, three-month deposits",Euro-Dollar,2024-07,5.319
Term loans,"Euro currency market, six-month deposits",Euro-Dollar,2024-07,5.29
Term loans,"Euro currency market, twelve-month deposits",Euro-Dollar,2024-07,5.163
Term loans,"Euro currency market, one-month deposits",Yen,2024-07,-0.195
Term loans,"Euro currency market, three-month deposits",Yen,2024-07,-0.132
Term loans,"Euro currency market, six-month deposits",Yen,2024-07,-0.017
Term loans,"Euro currency market, twelve-month deposits",Yen,2024-07,0.145
Central government bonds,10 year,Euro area,2024-07,3.112
Central government bonds,10 year,United states,2024-07,4.249
Central government bonds,10 year,Japan,2024-07,1.033
Central government bonds,10 year,Netherlands,2024-07,2.765
Term loans,"Euro currency market, one-month deposits",Euro,2024-11,3.084
Term loans,"Euro currency market, three-month deposits",Euro,2024-11,2.984
